date,RPE,session
2023-04-21,6,GPS
2023-04-22,7,GPS
2023-04-24,4,GPS
2023-04-25,4,GPS
2023-04-26,5,GPS
2023-04-28,3,GPS
2023-04-29,6,GPS
2023-04-30,4,GPS
2023-05-01,3,GPS
2023-05-02,5,GPS
2023-05-04,7,GPS
2023-05-05,8,GPS
2023-05-06,7,GPS
2023-05-09,6,GPS
2023-05-10,7,GPS
2023-05-11,4,GPS
2023-05-12,4,GPS
2023-05-13,7,GPS
2023-05-16,5,GPS
2023-05-17,5,GPS
2023-05-19,6,GPS
2023-05-20,7,GPS
2023-05-21,5,GPS
2023-05-23,6,GPS
2023-05-24,5,GPS
2023-05-25,3,GPS
2023-05-26,7,GPS
2023-05-27,6,GPS
2023-05-28,3,GPS
2023-07-02,3,Physical Test
2023-07-03,4,Physical Test
2023-07-04,6,Physical Test
2023-07-05,1,Physical Test
2023-07-06,6,Physical Test
2023-07-07,5,Physical Test
2023-07-08,4,Physical Test
2023-07-09,5,Physical Test
2023-07-10,4,Physical Test
2023-07-11,5,Physical Test
2023-07-12,5,Physical Test
2023-07-13,4,Physical Test
2023-07-14,4,Physical Test
2023-07-15,5,Physical Test
2023-07-16,7,Physical Test
2023-07-17,5,Physical Test
2023-07-18,7,Physical Test
2023-07-19,4,Physical Test
2023-07-20,4,Physical Test
2023-07-21,5,Physical Test
2023-07-22,4,Physical Test
2023-07-23,8,Physical Test
2023-07-24,6,Physical Test
2023-07-25,5,Physical Test
2023-07-26,6,Physical Test
2023-07-27,1,Physical Test
2023-07-28,6,Physical Test
2023-07-29,5,Physical Test
2023-07-30,3,Physical Test
2023-07-31,3,Physical Test
2023-08-01,1,Physical Test
2023-08-01,6,GPS
2023-08-02,6,GPS
2023-08-02,5,Physical Test
2023-08-03,6,Physical Test
2023-08-03,4,GPS
2023-08-04,5,GPS
2023-08-04,4,Physical Test
2023-08-05,5,GPS
2023-08-05,10,Physical Test
2023-08-06,8,Physical Test
2023-08-06,5,GPS
2023-08-07,6,GPS
2023-08-07,7,Physical Test
2023-08-08,7,Physical Test
2023-08-08,4,GPS
2023-08-09,4,GPS
2023-08-09,7,Physical Test
2023-08-10,6,Physical Test
2023-08-10,6,GPS
2023-08-11,6,Physical Test
2023-08-11,4,GPS
2023-08-12,4,GPS
2023-08-12,4,Physical Test
2023-08-13,5,GPS
2023-08-13,5,Physical Test
2023-08-14,6,GPS
2023-08-14,5,Physical Test
2023-08-15,4,Physical Test
2023-08-15,4,GPS
2023-08-16,3,GPS
2023-08-16,4,Physical Test
2023-08-17,5,GPS
2023-08-17,8,Physical Test
2023-08-18,4,GPS
2023-08-18,1,Physical Test
2023-08-19,5,GPS
2023-08-19,6,Physical Test
2023-08-20,2,Physical Test
2023-08-20,5,GPS
2023-08-21,5,Physical Test
2023-08-22,5,Physical Test
2023-08-22,6,GPS
2023-08-23,5,GPS
2023-08-23,5,Physical Test
2023-08-24,4,GPS
2023-08-24,6,Physical Test
2023-08-25,5,GPS
2023-08-25,3,Physical Test
2023-08-26,6,GPS
2023-08-26,6,Physical Test
2023-08-27,5,Physical Test
2023-08-28,9,Physical Test
2023-08-28,9,GPS
2023-08-29,3,GPS
2023-08-29,6,Physical Test
2023-08-30,5,GPS
2023-08-30,5,Physical Test
2023-08-31,5,GPS
2023-08-31,3,Physical Test
2023-09-01,6,Physical Test
2023-09-01,6,GPS
2023-09-02,1,Physical Test
2023-09-02,5,GPS
2023-09-03,4,Physical Test
2023-09-04,4,GPS
2023-09-04,7,Physical Test
2023-09-05,5,Physical Test
2023-09-05,6,GPS
2023-09-06,8,GPS
2023-09-06,4,Physical Test
2023-09-07,4,GPS
2023-09-07,6,Physical Test
2023-09-08,6,GPS
2023-09-08,6,Physical Test
2023-09-09,5,GPS
2023-09-09,3,Physical Test
2023-09-10,5,Physical Test
2023-09-10,5,GPS
2023-09-11,5,GPS
2023-09-11,4,Physical Test
2023-09-12,3,Physical Test
2023-09-12,2,GPS
2023-09-13,7,Physical Test
2023-09-13,6,GPS
2023-09-14,6,GPS
2023-09-14,8,Physical Test
2023-09-15,6,GPS
2023-09-15,4,Physical Test
2023-09-16,4,Physical Test
2023-09-16,3,GPS
2023-09-17,5,GPS
2023-09-17,5,Physical Test
2023-09-18,2,Physical Test
2023-09-19,3,Physical Test
2023-09-19,5,GPS
2023-09-20,5,Physical Test
2023-09-20,7,GPS
2023-09-21,4,GPS
2023-09-21,6,Physical Test
2023-09-22,7,GPS
2023-09-22,5,Physical Test
2023-09-23,4,GPS
2023-09-23,6,Physical Test
2023-09-24,3,Physical Test
2023-09-24,5,GPS
2023-09-25,7,Physical Test
2023-09-25,3,GPS
2023-09-26,8,Physical Test
2023-09-26,5,GPS
2023-09-27,6,GPS
2023-09-27,5,Physical Test
2023-09-28,5,Physical Test
2023-09-29,5,Physical Test
2023-09-30,4,GPS
2023-09-30,6,Physical Test
2023-10-01,1,GPS
2023-10-01,4,Physical Test
2023-10-02,5,GPS
2023-10-02,4,Physical Test
2023-10-03,7,Physical Test
2023-10-04,6,Physical Test
2023-10-04,5,GPS
2023-10-05,4,Physical Test
2023-10-05,6,GPS
2023-10-06,6,Physical Test
2023-10-06,4,GPS
2023-10-07,4,GPS
2023-10-07,4,Physical Test
2023-10-08,6,Physical Test
2023-10-09,5,GPS
2023-10-09,6,Physical Test
2023-10-10,4,GPS
2023-10-10,6,Physical Test
2023-10-11,4,GPS
2023-10-11,5,Physical Test
2023-10-12,5,GPS
2023-10-12,7,Physical Test
2023-10-13,2,GPS
2023-10-13,5,Physical Test
2023-10-14,6,Physical Test
2023-10-14,8,GPS
2023-10-15,7,GPS
2023-10-15,7,Physical Test
2023-10-16,1,Physical Test
2023-10-16,3,GPS
2023-10-17,3,Physical Test
2023-10-17,4,GPS
2023-10-18,5,Physical Test
2023-10-18,5,GPS
2023-10-19,4,Physical Test
2023-10-19,3,GPS
2023-10-20,6,GPS
2023-10-20,2,Physical Test
2023-10-21,5,GPS
2023-10-21,4,Physical Test
2023-10-22,5,Physical Test
2023-10-23,6,Physical Test
2023-10-23,5,GPS
2023-10-24,6,Physical Test
2023-10-24,7,GPS
2023-10-25,4,GPS
2023-10-25,5,Physical Test
2023-10-26,5,GPS
2023-10-26,2,Physical Test
2023-10-27,5,Physical Test
2023-10-27,6,GPS
2023-10-28,5,GPS
2023-10-28,6,Physical Test
2023-10-29,5,Physical Test
2023-10-30,6,GPS
2023-10-30,2,Physical Test
2023-10-31,6,Physical Test
2023-10-31,4,GPS
2023-11-01,8,Physical Test
2023-11-01,5,GPS
2023-11-02,6,Physical Test
2023-11-03,7,Physical Test
2023-11-03,4,GPS
2023-11-04,4,Physical Test
2023-11-04,5,GPS
2023-11-05,2,GPS
2023-11-05,4,Physical Test
2023-11-06,5,Physical Test
2023-11-06,6,GPS
2023-11-07,4,Physical Test
2023-11-08,0,GPS
2023-11-08,4,Physical Test
2023-11-09,6,GPS
2023-11-09,4,Physical Test
2023-11-10,5,Physical Test
2023-11-10,4,GPS
2023-11-11,6,Physical Test
2023-11-11,5,GPS
2023-11-12,6,Physical Test
2023-11-12,7,GPS
2023-11-13,4,Physical Test
2023-11-14,4,GPS
2023-11-14,8,Physical Test
2023-11-15,7,GPS
2023-11-15,5,Physical Test
2023-11-16,6,Physical Test
2023-11-16,4,GPS
2023-11-17,7,GPS
2023-11-17,6,Physical Test
2023-11-18,5,Physical Test
2023-11-18,10,GPS
2023-11-19,2,Physical Test
2023-11-19,4,GPS
2023-11-20,5,GPS
2023-11-20,10,Physical Test
2023-11-21,5,Physical Test
2023-11-21,6,GPS
2023-11-22,8,Physical Test
2023-11-22,4,GPS
2023-11-23,8,Physical Test
2023-11-23,4,GPS
2023-11-24,5,GPS
2023-11-24,4,Physical Test
2023-11-25,5,GPS
2023-11-25,3,Physical Test
2023-11-26,7,Physical Test
2023-11-27,9,Physical Test
2023-11-28,3,Physical Test
2023-11-28,3,GPS
2023-11-29,5,GPS
2023-11-29,7,Physical Test
2023-11-30,4,GPS
2023-11-30,7,Physical Test
2023-12-01,5,GPS
2023-12-01,4,Physical Test
2023-12-02,4,Physical Test
2023-12-02,3,GPS
2023-12-03,4,GPS
2023-12-03,4,Physical Test
2023-12-04,5,Physical Test
2023-12-04,6,GPS
2023-12-05,4,Physical Test
2023-12-05,5,GPS
2023-12-06,5,Physical Test
2023-12-06,6,GPS
2023-12-07,4,Physical Test
2023-12-08,5,Physical Test
2023-12-08,5,GPS
2023-12-09,7,Physical Test
2023-12-09,4,GPS
2023-12-10,5,GPS
2023-12-10,4,Physical Test
2023-12-11,3,Physical Test
2023-12-12,7,Physical Test
2023-12-12,7,GPS
2023-12-13,2,GPS
2023-12-13,4,Physical Test
2023-12-14,7,GPS
2023-12-14,7,Physical Test
2023-12-15,7,GPS
2023-12-15,6,Physical Test
2023-12-16,6,GPS
2023-12-16,4,Physical Test
2023-12-17,5,Physical Test
2023-12-17,3,GPS
2023-12-18,6,Physical Test
2023-12-18,3,GPS
2023-12-19,4,Physical Test
2023-12-19,6,GPS
2023-12-20,7,Physical Test
2023-12-21,5,Physical Test
2023-12-21,4,GPS
2023-12-22,5,GPS
2023-12-22,5,Physical Test
2023-12-23,5,Physical Test
2023-12-23,1,GPS
2023-12-24,6,Physical Test
2023-12-24,2,GPS
2023-12-25,7,Physical Test
2023-12-25,7,GPS
2023-12-26,5,GPS
2023-12-26,3,Physical Test
2023-12-27,5,GPS
2023-12-27,4,Physical Test
2023-12-28,7,Physical Test
2023-12-28,6,GPS
2023-12-29,4,GPS
2023-12-29,6,Physical Test
2023-12-30,7,Physical Test
2023-12-30,4,GPS
2023-12-31,4,Physical Test
2023-12-31,5,GPS
2024-01-01,6,Physical Test
2024-01-01,6,GPS
2024-01-02,6,GPS
2024-01-02,4,Physical Test
2024-01-03,3,GPS
2024-01-03,6,Physical Test
2024-01-04,5,Physical Test
2024-01-04,4,GPS
2024-01-05,7,GPS
2024-01-05,3,Physical Test
2024-01-06,4,GPS
2024-01-06,4,Physical Test
2024-01-07,7,Physical Test
2024-01-07,6,GPS
2024-01-08,3,GPS
2024-01-08,8,Physical Test
2024-01-09,5,GPS
2024-01-09,5,Physical Test
2024-01-10,6,Physical Test
2024-01-10,4,GPS
2024-01-11,7,Physical Test
2024-01-11,1,GPS
2024-01-12,3,Physical Test
2024-01-12,5,GPS
2024-01-13,6,Physical Test
2024-01-13,4,GPS
2024-01-14,3,Physical Test
2024-01-14,6,GPS
2024-01-15,5,Physical Test
2024-01-15,4,GPS
2024-01-16,5,Physical Test
2024-01-16,5,GPS
2024-01-17,5,Physical Test
2024-01-17,6,GPS
2024-01-18,6,GPS
2024-01-18,5,Physical Test
2024-01-19,4,Physical Test
2024-01-19,7,GPS
2024-01-20,5,Physical Test
2024-01-20,6,GPS
2024-01-21,7,Physical Test
2024-01-21,7,GPS
2024-01-22,5,Physical Test
2024-01-22,5,GPS
2024-01-23,3,Physical Test
2024-01-23,4,GPS
2024-01-24,4,Physical Test
2024-01-24,6,GPS
2024-01-25,6,Physical Test
2024-01-25,7,GPS
2024-01-26,6,Physical Test
2024-01-26,4,GPS
2024-01-27,6,Physical Test
2024-01-27,6,GPS
2024-01-28,2,Physical Test
2024-01-28,6,GPS
2024-01-29,7,GPS
2024-01-29,5,Physical Test
2024-01-30,6,GPS
2024-01-30,5,Physical Test
2024-01-31,5,Physical Test
2024-01-31,6,GPS
2024-02-01,5,Physical Test
2024-02-02,6,Physical Test
2024-02-02,8,GPS
2024-02-03,6,GPS
2024-02-03,3,Physical Test
2024-02-04,4,GPS
2024-02-04,7,Physical Test
2024-02-05,6,Physical Test
2024-02-05,4,GPS
2024-02-06,5,Physical Test
2024-02-06,5,GPS
2024-02-07,5,GPS
2024-02-07,5,Physical Test
2024-02-08,6,Physical Test
2024-02-09,6,GPS
2024-02-09,5,Physical Test
2024-02-10,7,GPS
2024-02-10,3,Physical Test
2024-02-11,4,Physical Test
2024-02-11,3,GPS
2024-02-12,6,Physical Test
2024-02-12,4,GPS
2024-02-13,6,Physical Test
2024-02-14,7,GPS
2024-02-14,5,Physical Test
2024-02-15,2,Physical Test
2024-02-15,5,GPS
2024-02-16,4,GPS
2024-02-16,4,Physical Test
2024-02-17,4,GPS
2024-02-17,6,Physical Test
2024-02-18,5,Physical Test
2024-02-19,4,Physical Test
2024-02-20,2,Physical Test
2024-02-20,2,GPS
2024-02-21,4,Physical Test
2024-02-21,4,GPS
2024-02-22,4,Physical Test
2024-02-22,7,GPS
2024-02-23,6,Physical Test
2024-02-23,3,GPS
2024-02-24,5,Physical Test
2024-02-24,5,GPS
2024-02-25,5,Physical Test
2024-02-25,3,GPS
2024-02-26,2,GPS
2024-02-26,9,Physical Test
2024-02-27,8,Physical Test
2024-02-27,6,GPS
2024-02-28,4,Physical Test
2024-02-28,7,GPS
2024-02-29,6,GPS
2024-02-29,5,Physical Test
2024-03-01,6,Physical Test
2024-03-01,8,GPS
2024-03-02,6,GPS
2024-03-02,3,Physical Test
2024-03-03,3,Physical Test
2024-03-04,4,GPS
2024-03-04,5,Physical Test
2024-03-05,7,GPS
2024-03-05,8,Physical Test
2024-03-06,5,GPS
2024-03-06,6,Physical Test
2024-03-07,5,Physical Test
2024-03-07,5,GPS
2024-03-08,4,Physical Test
2024-03-08,5,GPS
2024-03-09,4,Physical Test
2024-03-09,3,GPS
2024-03-10,6,Physical Test
2024-03-10,6,GPS
2024-03-11,4,Physical Test
2024-03-11,4,GPS
2024-03-12,6,Physical Test
2024-03-13,5,Physical Test
2024-03-13,6,GPS
2024-03-14,5,Physical Test
2024-03-14,7,GPS
2024-03-15,7,GPS
2024-03-15,5,Physical Test
2024-03-16,7,GPS
2024-03-16,8,Physical Test
2024-03-17,6,GPS
2024-03-17,7,Physical Test
2024-03-18,6,Physical Test
2024-03-19,5,GPS
2024-03-19,6,Physical Test
2024-03-20,3,Physical Test
2024-03-20,4,GPS
2024-03-21,3,GPS
2024-03-21,3,Physical Test
2024-03-22,4,Physical Test
2024-03-22,4,GPS
2024-03-23,3,Physical Test
2024-03-23,6,GPS
2024-03-24,7,GPS
2024-03-24,5,Physical Test
2024-03-25,4,GPS
2024-03-25,5,Physical Test
2024-03-26,5,GPS
2024-03-26,3,Physical Test
2024-03-27,3,Physical Test
2024-03-27,5,GPS
2024-03-28,5,GPS
2024-03-28,8,Physical Test
2024-03-29,6,Physical Test
2024-03-29,4,GPS
2024-03-30,5,Physical Test
2024-03-30,4,GPS
2024-03-31,4,Physical Test
2024-04-01,5,GPS
2024-04-01,4,Physical Test
2024-04-02,3,Physical Test
2024-04-02,3,GPS
2024-04-03,6,Physical Test
2024-04-03,5,GPS
2024-04-04,4,GPS
2024-04-04,6,Physical Test
2024-04-05,6,Physical Test
2024-04-05,5,GPS
2024-04-06,3,GPS
2024-04-06,4,Physical Test
2024-04-07,7,Physical Test
2024-04-07,3,GPS
2024-04-08,5,GPS
2024-04-08,6,Physical Test
2024-04-09,5,Physical Test
2024-04-10,6,GPS
2024-04-10,2,Physical Test
2024-04-11,6,GPS
2024-04-11,3,Physical Test
2024-04-12,5,GPS
2024-04-12,6,Physical Test
2024-04-13,6,Physical Test
2024-04-13,5,GPS
2024-04-14,6,GPS
2024-04-14,5,Physical Test
2024-04-15,5,GPS
2024-04-15,9,Physical Test
2024-04-16,6,Physical Test
2024-04-17,7,GPS
2024-04-17,5,Physical Test
2024-04-18,5,Physical Test
2024-04-18,5,GPS
2024-04-19,4,Physical Test
2024-04-19,6,GPS
2024-04-20,5,GPS
2024-04-20,2,Physical Test
2024-04-21,6,GPS
2024-04-21,6,Physical Test
2024-04-22,3,GPS
2024-04-22,6,Physical Test
2024-04-23,6,GPS
2024-04-23,6,Physical Test
2024-04-24,2,GPS
2024-04-24,7,Physical Test
2024-04-25,4,GPS
2024-04-25,3,Physical Test
2024-04-26,5,GPS
2024-04-26,3,Physical Test
2024-04-27,4,GPS
2024-04-27,7,Physical Test
2024-04-28,6,Physical Test
2024-04-29,5,GPS
2024-04-29,8,Physical Test
2024-04-30,5,GPS
2024-04-30,5,Physical Test
2024-05-01,3,GPS
2024-05-01,3,Physical Test
2024-05-02,3,GPS
2024-05-02,6,Physical Test
2024-05-03,3,Physical Test
2024-05-03,7,GPS
2024-05-04,4,GPS
2024-05-04,7,Physical Test
2024-05-05,6,Physical Test
2024-05-05,1,GPS
2024-05-06,5,Physical Test
2024-05-07,4,GPS
2024-05-07,5,Physical Test
2024-05-08,6,GPS
2024-05-08,3,Physical Test
2024-05-09,6,GPS
2024-05-09,5,Physical Test
2024-05-10,6,Physical Test
2024-05-10,4,GPS
2024-05-11,5,GPS
2024-05-11,3,Physical Test
2024-05-12,5,Physical Test
2024-05-13,5,GPS
2024-05-13,7,Physical Test
2024-05-14,5,GPS
2024-05-14,4,Physical Test
2024-05-15,4,Physical Test
2024-05-15,6,GPS
2024-05-16,3,Physical Test
2024-05-17,6,GPS
2024-05-17,6,Physical Test
2024-05-18,5,GPS
2024-05-18,5,Physical Test
2024-05-19,4,Physical Test
2024-05-19,7,GPS
2024-05-20,6,Physical Test
2024-05-21,5,Physical Test
2024-05-22,7,Physical Test
2024-05-23,4,Physical Test
2024-05-24,5,Physical Test
2024-05-25,9,Physical Test
2024-05-26,6,Physical Test
2024-05-27,5,Physical Test
2024-05-28,5,Physical Test
2024-05-29,4,Physical Test
2024-05-30,4,Physical Test
2024-05-31,3,Physical Test
2024-06-01,6,Physical Test
2024-06-02,2,Physical Test
2024-06-03,4,Physical Test
2024-06-04,4,Physical Test
2024-06-05,1,Physical Test
2024-06-06,7,Physical Test
2024-06-07,6,Physical Test
2024-06-08,5,Physical Test
2024-06-09,4,Physical Test
2024-06-10,3,Physical Test
2024-06-11,4,Physical Test
2024-06-12,5,Physical Test
2024-06-13,7,Physical Test
2024-06-14,4,Physical Test
2024-06-15,5,Physical Test
2024-06-16,5,Physical Test
2024-06-17,4,Physical Test
2024-06-18,7,Physical Test
2024-06-19,3,Physical Test
2024-06-20,3,Physical Test
2024-06-21,4,Physical Test
2024-06-22,7,Physical Test
2024-06-23,4,Physical Test
2024-06-24,5,Physical Test
2024-06-25,8,Physical Test
2024-06-26,6,Physical Test
2024-06-27,5,Physical Test
2024-06-28,6,Physical Test
2024-06-29,4,Physical Test
2024-06-30,6,Physical Test
2024-07-01,5,Physical Test
2024-07-02,6,Physical Test
2024-07-03,5,Physical Test
2024-07-04,3,Physical Test
2024-07-05,5,Physical Test
2024-07-06,5,Physical Test
2024-07-07,6,Physical Test
2024-07-08,4,Physical Test
2024-07-09,7,Physical Test
2024-07-10,2,Physical Test
2024-07-11,4,Physical Test
2024-07-12,5,Physical Test
2024-07-13,2,Physical Test
2024-07-14,5,Physical Test
2024-07-15,5,Physical Test
2024-07-16,3,Physical Test
2024-07-17,6,Physical Test
2024-07-18,6,Physical Test
2024-07-19,7,Physical Test
2024-07-20,6,Physical Test
2024-07-21,6,Physical Test
2024-07-22,1,Physical Test
2024-07-23,8,Physical Test
2024-07-24,6,Physical Test
2024-07-25,3,Physical Test
2024-07-26,4,Physical Test
2024-07-27,5,Physical Test
2024-07-28,3,Physical Test
2024-07-29,6,Physical Test
2024-07-30,6,Physical Test
2024-07-31,5,Physical Test
2024-08-01,6,Physical Test
2024-08-01,5,GPS
2024-08-02,4,Physical Test
2024-08-02,6,GPS
2024-08-03,5,Physical Test
2024-08-03,6,GPS
2024-08-04,4,Physical Test
2024-08-04,6,GPS
2024-08-05,6,GPS
2024-08-05,3,Physical Test
2024-08-06,6,Physical Test
2024-08-06,5,GPS
2024-08-07,6,GPS
2024-08-07,7,Physical Test
2024-08-08,5,Physical Test
2024-08-09,4,GPS
2024-08-09,6,Physical Test
2024-08-10,1,GPS
2024-08-10,5,Physical Test
2024-08-11,5,Physical Test
2024-08-11,5,GPS
2024-08-12,8,Physical Test
2024-08-12,5,GPS
2024-08-13,7,GPS
2024-08-13,7,Physical Test
2024-08-14,7,GPS
2024-08-14,3,Physical Test
2024-08-15,4,GPS
2024-08-15,6,Physical Test
2024-08-16,4,GPS
2024-08-16,3,Physical Test
2024-08-17,5,GPS
2024-08-17,6,Physical Test
2024-08-18,4,GPS
2024-08-18,5,Physical Test
2024-08-19,3,GPS
2024-08-19,6,Physical Test
2024-08-20,3,GPS
2024-08-20,6,Physical Test
2024-08-21,7,GPS
2024-08-21,3,Physical Test
2024-08-22,6,GPS
2024-08-22,4,Physical Test
2024-08-23,5,GPS
2024-08-23,4,Physical Test
2024-08-24,8,Physical Test
2024-08-24,7,GPS
2024-08-25,6,GPS
2024-08-25,2,Physical Test
2024-08-26,8,Physical Test
2024-08-27,5,GPS
2024-08-27,6,Physical Test
2024-08-28,3,Physical Test
2024-08-28,5,GPS
2024-08-29,3,GPS
2024-08-29,5,Physical Test
2024-08-30,6,GPS
2024-08-30,4,Physical Test
2024-08-31,7,GPS
2024-08-31,5,Physical Test
2024-09-01,4,GPS
2024-09-01,4,Physical Test
2024-09-02,4,GPS
2024-09-02,5,Physical Test
2024-09-03,6,GPS
2024-09-03,3,Physical Test
2024-09-04,3,GPS
2024-09-04,4,Physical Test
2024-09-05,4,GPS
2024-09-05,5,Physical Test
2024-09-06,5,GPS
2024-09-06,6,Physical Test
2024-09-07,4,GPS
2024-09-07,6,Physical Test
2024-09-08,3,GPS
2024-09-08,6,Physical Test
2024-09-09,3,Physical Test
2024-09-09,6,GPS
2024-09-10,6,Physical Test
2024-09-10,7,GPS
2024-09-11,5,Physical Test
2024-09-11,7,GPS
2024-09-12,6,Physical Test
2024-09-12,4,GPS
2024-09-13,7,GPS
2024-09-13,4,Physical Test
2024-09-14,3,GPS
2024-09-14,2,Physical Test
2024-09-15,7,Physical Test
2024-09-16,7,GPS
